,AppName,Company,StarRating,TotalReviews,TotalDownloads,ContainsAds,Editors,RatedAgeGroup,Category,Score(Avg),TopFeatures
0,Poster Maker Flyer Maker,Photo Studio & Picture Editor Lab,4.5,69600,1000000,yes,no,>3 years,Arts&design,4.5514,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
1,Urdu Designer Urdu Post Maker,fida.pk,4.6,18300,1000000,yes,no,>3 years,Arts&design,4.7173,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
2,Graphic Design Templates,Video Marketing Apps,4.6,9350,500000,yes,no,>3 years,Arts&design,4.488,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
3,Imagitor  - Urdu Design,BooleanBites Ltd,4.4,8130,500000,yes,no,>3 years,Arts&design,4.6229,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
4,Text Art: Quote & Poster Maker,Image Crop n Wallpaer Changer,4.4,11000,1000000,yes,no,>3 years,Arts&design,4.5442,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
5,Logo Maker: Logo Creator,Content Arcade Apps,4.3,248000,10000000,yes,no,>3 years,Arts&design,4.4123,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
6,Floor Plan Creator,Marcin Lewandowski,4.2,107000,10000000,yes,no,>3 years,Arts&design,4.2619,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
7,"Canva: Design, Photo & Video",Canva,4.8,9850000,100000000,no,no,>3 years,Arts&design,4.4451,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
8,Adobe Express: Graphic Design,Adobe,4.6,126000,10000000,no,no,>3 years,Arts&design,4.2332,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
9,Sketchbook,Sketchbook,4.2,466000,50000000,no,yes,>3 years,Arts&design,4.0198,"('urdu designer', 356), ('logo maker', 171), ('graphic design',117), ('full version', 85), ('user friendly', 71), ('digital art', 69),  ('floor plan', 59), ('pro version', 56), ('poster maker', 45), ('paint bucket', 44), ('color palette', 40), ('brand maker', 40), ('sketchbook pro', 39), ('visual master', 36),  ('logo design', 35), ('picture color', 31), ('sludge tool', 26), ('text tool', 27), ('photo editing', 23), ('adobe express', 23), ('professional logo', 22), ('text art', 21), ('canvas lynch', 19), ('home design', 19), ('infinite canvas', 17), ('picture premium', 17), ('beautiful template', 14), ('intuitive interface', 14), ('house plan', 12), ('free version', 12), ('business logo', 10), ('premium version', 10), ('layer mask', 9), ('coral draw', 8), ('ibis paint', 8), ('ios version', 6), ('flyer maker', 6), ('write poetry', 5),  ('vector base', 4), ('flipaclip share', 4), ('text editor', 4), ('magic erase', 2), ('word express', 2)"
